isogroup gene ontology,
TRINITY_DN365_c0_g1,GO:0031672;GO:0005524;GO:0046872;GO:0004674;GO:0051782;GO:0018105;GO:0018107
TRINITY_DN629_c0_g1,GO:0016021;GO:0005743;GO:0045277;GO:0004129;GO:0019646;GO:0008535
TRINITY_DN14669_c0_g1,GO:0005840;GO:0003735;GO:0006412
TRINITY_DN5233_c0_g1,GO:0005509
TRINITY_DN291_c0_g1,GO:0000118;GO:0016605;GO:0003682;GO:0001105;GO:0001106;GO:0043565;GO:0003700;GO:0008270;GO:0048755;GO:0021930;GO:0021691;GO:0006338;GO:0048813;GO:0021942
TRINITY_DN34387_c0_g1,GO:0005743;GO:0005763;GO:0005739;GO:0005730;GO:0044822;GO:0003735;GO:0042769;GO:0000462;GO:0070125;GO:0070126;GO:0006412
TRINITY_DN31909_c0_g1,GO:0005852;GO:0003743;GO:0031369;GO:0006413
TRINITY_DN7763_c0_g1,GO:0005737;GO:0016491;GO:0008202
TRINITY_DN29643_c0_g1,GO:0005840;GO:0003735;GO:0006412
TRINITY_DN2627_c1_g1,GO:0016021;GO:0005743;GO:0045277;GO:0004129;GO:0020037;GO:0005506;GO:0009060;GO:0006119
TRINITY_DN34482_c0_g1,GO:0005783;GO:0005794;GO:0042470;GO:0030246;GO:0033919;GO:0005975
TRINITY_DN33438_c0_g1,GO:0012505;GO:0016021
TRINITY_DN7527_c0_g1,GO:0030176;GO:0006816;GO:2001256
TRINITY_DN7829_c0_g1,GO:0005737;GO:0005789;GO:0004105;GO:0001541;GO:0006656;GO:0007283
TRINITY_DN5732_c0_g1,GO:0016020;GO:0005634;GO:0016740;GO:0008270;GO:0016567;GO:0006355;GO:0006351
TRINITY_DN35827_c1_g1,GO:0005581;GO:0030666;GO:0005887;GO:0005886;GO:0005044;GO:0008329;GO:0004888;GO:0043277;GO:0007166;GO:0045087;GO:0006898
TRINITY_DN33714_c0_g1,GO:0072492;GO:0005739;GO:0030016;GO:0046872;GO:0045454;GO:0006878;GO:0033617;GO:1901799
TRINITY_DN8049_c0_g1,GO:0005737;GO:0005524;GO:0046872;GO:0006260;GO:0006457;GO:0009408
TRINITY_DN32689_c0_g1,GO:0005743;GO:0005763;GO:0003735;GO:0032543;GO:0070125;GO:0070124
TRINITY_DN11490_c0_g1,GO:0005509
TRINITY_DN33815_c0_g1,GO:0005829;GO:0005634;GO:0000166;GO:0044822;GO:0004842;GO:0008270;GO:0006977;GO:0000289;GO:0051865
TRINITY_DN4548_c0_g1,GO:0005737;GO:0005634;GO:0004364;GO:0003746;GO:0006749
TRINITY_DN32105_c0_g1,GO:0005905;GO:0005886;GO:0035612;GO:0048268;GO:0072583
TRINITY_DN25975_c0_g1,GO:0005737;GO:0005525;GO:0003924;GO:0003746
TRINITY_DN2419_c0_g1,GO:0005694;GO:0005737;GO:0005654;GO:0005634;GO:0003682;GO:0042799;GO:0018024;GO:0043565;GO:0008270;GO:0009653;GO:0003289;GO:0003290;GO:0060348;GO:0006303;GO:0010452;GO:0003149;GO:0000122;GO:0048298;GO:2001032;GO:0070201;GO:0006351
TRINITY_DN28284_c0_g1,GO:0030054;GO:0005783;GO:0005576;GO:0005794;GO:0045202
TRINITY_DN30016_c0_g1,GO:0015629;GO:0005737;GO:0016363;GO:0030042;GO:0007049;GO:0051301
TRINITY_DN37702_c0_g1,GO:0005852;GO:0005634;GO:0003743
TRINITY_DN15824_c0_g1,GO:0004364;GO:0045087
TRINITY_DN33008_c0_g1,GO:0070062;GO:0005794;GO:0016021;GO:0043231;GO:0005654;GO:0055038;GO:0032588;GO:0030133;GO:0015031
TRINITY_DN11809_c0_g1,GO:0005759;GO:0030060;GO:0005975;GO:0006475;GO:0006108;GO:0006099
TRINITY_DN16772_c0_g1,GO:0005737;GO:0005730;GO:0005634;GO:0016428;GO:0000049;GO:0030488
TRINITY_DN12822_c0_g1,GO:0005840;GO:0003735;GO:0000049;GO:0006412
TRINITY_DN21717_c1_g1,GO:0016021;GO:0005743;GO:0045263;GO:0015078;GO:0015986
TRINITY_DN16290_c0_g1,GO:0000791;GO:0000792;GO:0005654;GO:0005634;GO:0031519;GO:0035102;GO:0003682;GO:0003677;GO:0030154;GO:0016569;GO:0045137;GO:0000122;GO:0016925;GO:0006351
TRINITY_DN4266_c0_g1,GO:0071013;GO:0000932;GO:1990726;GO:0071011;GO:0046540;GO:0005688;GO:0044822;GO:0003723;GO:0030629;GO:0033962;GO:0000398;GO:0000956
TRINITY_DN34290_c0_g1,GO:0005829;GO:0000159;GO:0019888;GO:0051301;GO:0032502;GO:0010458;GO:0000278;GO:0007067;GO:0070262
TRINITY_DN29952_c0_g1,GO:0009986;GO:0016021;GO:0005886;GO:0006915;GO:0007411;GO:0098609;GO:0021859;GO:2001222;GO:0007165
TRINITY_DN34433_c0_g1,GO:0071339;GO:0003677;GO:0006355;GO:0006351
TRINITY_DN38799_c0_g1,GO:0005737;GO:0005654;GO:0003677;GO:0044822;GO:0008283;GO:0000398;GO:0097150;GO:0050769;GO:0031053;GO:0006355;GO:0046685;GO:0042795
TRINITY_DN26047_c0_g1,GO:0005840;GO:0008097;GO:0003735;GO:0006412
TRINITY_DN29532_c0_g1,GO:0003964
TRINITY_DN29441_c0_g1,GO:0005737;GO:0070062;GO:0002177;GO:0031514;GO:0036126;GO:0005516;GO:0030544;GO:0007288;GO:0007286
TRINITY_DN11938_c0_g1,GO:0016324;GO:0005737;GO:0005829;GO:0005768;GO:0070062;GO:0005765;GO:0005902;GO:0005739;GO:0033178;GO:0051117;GO:0008553;GO:0046961;GO:0015991
TRINITY_DN9223_c0_g1,GO:0005737;GO:0005634;GO:0005886;GO:0010309;GO:0046872;GO:0016491;GO:0019509;GO:0006555
TRINITY_DN18123_c0_g1,GO:0035097;GO:0042800;GO:0043565;GO:0003700;GO:0008270;GO:0007275;GO:0006351
TRINITY_DN37434_c0_g1,GO:0005737;GO:0005730;GO:0005654;GO:0005634;GO:0016018;GO:0030331;GO:0031072;GO:0030544;GO:0051879;GO:0003755;GO:0008134;GO:0006915;GO:0071492;GO:0061077;GO:0034389;GO:0000122;GO:0043065;GO:0050714;GO:0045070;GO:0006461;GO:0006457;GO:0015031;GO:0019076
TRINITY_DN16201_c0_g1,GO:0005737;GO:0003723;GO:0009953;GO:0017148;GO:0090263;GO:0050775;GO:0061003;GO:0030177;GO:2000055;GO:0040008
TRINITY_DN16000_c0_g1,GO:0005576;GO:0003796;GO:0016998;GO:0009253
TRINITY_DN3697_c0_g1,GO:0033178;GO:0046961;GO:0015991
TRINITY_DN11196_c0_g1,GO:0005737;GO:0005769;GO:0005739;GO:0005634;GO:0008333;GO:0006493;GO:0006605;GO:0006357
TRINITY_DN38507_c0_g1,GO:0015934;GO:0003735;GO:0006412
TRINITY_DN35290_c0_g1,GO:0042641;GO:0016460;GO:0005509;GO:0000281;GO:0030587
TRINITY_DN19191_c0_g1,GO:0070062;GO:0016020;GO:0005739;GO:0005777;GO:0016853;GO:0005102;GO:0006635;GO:0009062
TRINITY_DN34228_c0_g1,GO:0000421;GO:0005783;GO:0005789;GO:0016021;GO:0016020;GO:0005634;GO:0008250;GO:0005791;GO:0043022;GO:0016757;GO:0007568;GO:0006464;GO:0006487;GO:0018279;GO:0042493
TRINITY_DN20297_c0_g1,GO:0005737;GO:0005856;GO:0035183;GO:0045169;GO:0045172;GO:0016328;GO:0005811;GO:0005886;GO:0045170;GO:0061572;GO:0007527;GO:0007411;GO:0051297;GO:0007282;GO:0048135;GO:0008302;GO:0045478;GO:0048134;GO:0007294;GO:0031987;GO:0000212;GO:0070050;GO:0048477;GO:0030723;GO:0072499;GO:0045214;GO:0030724
TRINITY_DN10721_c0_g1,GO:0009986;GO:0005783;GO:0005788;GO:0042470;GO:0003756;GO:0045454;GO:0043065;GO:0006457;GO:0034976
TRINITY_DN26854_c0_g1,GO:0005737;GO:0036156;GO:0005874;GO:0005524;GO:0003777;GO:0007018
TRINITY_DN19937_c0_g1,GO:0000796;GO:0005829;GO:0005634;GO:0005524;GO:0051301;GO:0007076
TRINITY_DN12363_c0_g1,GO:0031146
TRINITY_DN32346_c0_g1,GO:0005737;GO:0004198;GO:0020037;GO:0019825;GO:0006508
TRINITY_DN27262_c0_g1,GO:0005737;GO:0005525;GO:0003924;GO:0003746
TRINITY_DN31485_c0_g1,GO:0005913;GO:0005737;GO:0005886;GO:0008013;GO:0008092;GO:0030159;GO:0045176;GO:0060441;GO:0045197;GO:0035556;GO:0072205;GO:0030901;GO:0008285;GO:0030859;GO:0006461;GO:0071896;GO:0042981;GO:0007165;GO:0016337;GO:0045186
TRINITY_DN21765_c0_g1,GO:0000015;GO:0000287;GO:0004634;GO:0006096
TRINITY_DN15822_c0_g1,GO:0005829;GO:0022625;GO:0005875;GO:0005634;GO:0031386;GO:0003735;GO:0006464;GO:0002181;GO:0007219;GO:0016567;GO:0006412;GO:0006511
TRINITY_DN1078_c0_g1,GO:0005737;GO:0070062;GO:0005654;GO:0005634;GO:0005886;GO:0004177;GO:0004301;GO:0004463;GO:0070006;GO:0042277;GO:0044822;GO:0008270;GO:0019370;GO:0043171;GO:0006508
TRINITY_DN38477_c0_g1,GO:0005814;GO:0005929;GO:0000922;GO:0016595;GO:0016594;GO:0016596
TRINITY_DN37130_c0_g1,GO:0008623;GO:0000228;GO:0008270;GO:0006338;GO:0006261;GO:0006355;GO:0006351
TRINITY_DN35827_c0_g1,
TRINITY_DN9936_c0_g1,GO:0005737;GO:0016363;GO:0016607;GO:0005730;GO:0005634;GO:0042382;GO:0001047;GO:0000166;GO:0044822;GO:0000976;GO:0000398;GO:0045892;GO:0042752;GO:0006355;GO:0048511;GO:0006351
TRINITY_DN26375_c0_g1,GO:0016021;GO:0055038;GO:0045595
TRINITY_DN19841_c0_g1,GO:0005730;GO:0000166;GO:0003723;GO:0006364
TRINITY_DN22302_c0_g1,GO:0031672;GO:0042470;GO:0048471;GO:0030018;GO:0005524;GO:0016887;GO:0030235;GO:0050900;GO:0007517;GO:0030239;GO:0045429;GO:0006457;GO:0010038;GO:0006950;GO:0048769;GO:0030241;GO:0030240;GO:0014866;GO:0071688
TRINITY_DN3917_c0_g1,GO:0005737;GO:0007050;GO:0051301;GO:0001732;GO:0007346;GO:0006417
TRINITY_DN1305_c0_g1,GO:0005509;GO:0005544
TRINITY_DN38565_c0_g1,GO:0016021;GO:0005743;GO:0005886;GO:0045277;GO:0005507;GO:0004129;GO:0020037;GO:0005506;GO:0009060;GO:0022900;GO:0006119
TRINITY_DN2581_c0_g1,GO:0030424;GO:0044295;GO:0005737;GO:0030175;GO:0043025;GO:0043022;GO:0031369;GO:0016199;GO:0048149;GO:0007616;GO:0017148;GO:0048477;GO:0030707;GO:0051491
TRINITY_DN29172_c0_g1,GO:0000786;GO:0005634;GO:0003682;GO:0003677;GO:0070828;GO:0006334;GO:0006355
TRINITY_DN32920_c0_g1,GO:0000786;GO:0005634;GO:0003677
TRINITY_DN2279_c0_g1,GO:0000794;GO:0005737;GO:0005829;GO:0072687;GO:0031514;GO:0005634;GO:0001520;GO:0036126;GO:0035082;GO:0051321;GO:0007286
TRINITY_DN34994_c0_g1,GO:0005794;GO:0031902;GO:0008289;GO:0006869
TRINITY_DN22987_c0_g1,GO:0005829;GO:0070062;GO:0047150;GO:0008898;GO:0061627;GO:0008270;GO:0071267;GO:0009086;GO:0046500;GO:0033477
TRINITY_DN5427_c0_g1,GO:0005761;GO:0005634;GO:0071850;GO:0008284;GO:1903862
TRINITY_DN24942_c0_g1,GO:0031410;GO:0005634;GO:0006355;GO:0006814;GO:0006351
TRINITY_DN35733_c0_g1,GO:0005737;GO:0005634;GO:0046872;GO:0004842;GO:0042787
TRINITY_DN6996_c0_g1,GO:0005578;GO:0046872;GO:0007155
TRINITY_DN18641_c0_g1,GO:0005737;GO:0005815
TRINITY_DN2799_c0_g1,GO:0005634;GO:0043565;GO:0003700;GO:0006351
TRINITY_DN2571_c0_g1,GO:0005913;GO:0009898;GO:0005829;GO:0000815;GO:0070062;GO:0031902;GO:0030117;GO:0030496;GO:0005635;GO:0006914;GO:0000920;GO:0098609;GO:0010458;GO:0036438;GO:0090148;GO:0000281;GO:0007080;GO:1902902;GO:1901215;GO:0031468;GO:1902188;GO:0006620;GO:0051260;GO:0010824;GO:1901673;GO:0090611;GO:0007034;GO:0039702
TRINITY_DN10642_c0_g1,GO:0015629;GO:0005912;GO:0016342;GO:0005913;GO:0005737;GO:0005886;GO:0005914;GO:0005915;GO:0003779;GO:0008092;GO:0005198;GO:0034332;GO:0007155;GO:0007016;GO:0060429;GO:0007163;GO:0007293;GO:0060323
TRINITY_DN33583_c0_g1,GO:0005852;GO:0071541;GO:0070062;GO:0005654;GO:0000166;GO:0003743;GO:0075522;GO:0006446;GO:0006413;GO:0075525
TRINITY_DN32877_c0_g1,GO:0005783;GO:0005794;GO:0000062;GO:0008289;GO:0006810
TRINITY_DN1713_c0_g1,GO:0016021;GO:0043025;GO:0005886;GO:0005516;GO:0016286
TRINITY_DN34195_c0_g1,GO:0033180;GO:0015078;GO:0015991
TRINITY_DN30008_c0_g1,GO:0005576
TRINITY_DN26847_c0_g1,GO:0017101;GO:0005737;GO:0005829;GO:0005875;GO:0005739;GO:0005524;GO:0004819;GO:0003723;GO:0048813;GO:0006425
TRINITY_DN18077_c0_g1,GO:0000408;GO:0005739;GO:0046872;GO:0004222;GO:0061711;GO:0002949
TRINITY_DN37077_c0_g1,GO:0005930;GO:0097546;GO:0005737;GO:0005654;GO:0005634;GO:0003341;GO:0007368;GO:0007507;GO:0036158;GO:0003356;GO:0021591
TRINITY_DN31283_c0_g1,GO:0032154;GO:0005737;GO:0005769;GO:0070062;GO:0005654;GO:0005634;GO:0005886;GO:0046872;GO:0008237;GO:0019904;GO:0004843;GO:0007259;GO:0000281;GO:0043524;GO:0014067;GO:0046580;GO:0008284;GO:0016579
TRINITY_DN34181_c0_g1,GO:0009986;GO:0005576;GO:0004867;GO:0007155
TRINITY_DN34878_c0_g1,GO:0004648;GO:0006564
TRINITY_DN36676_c0_g1,GO:0005929;GO:0005737;GO:0005856;GO:0030991;GO:0035721;GO:0007275;GO:0045879;GO:0061512
TRINITY_DN25869_c0_g1,GO:0003964;GO:0006313
TRINITY_DN12104_c0_g1,GO:0005739;GO:0005524;GO:0030218;GO:0045647;GO:1902037;GO:1903707;GO:0006457
TRINITY_DN1055_c0_g1,GO:0005622;GO:0005886;GO:0005525;GO:0007264
TRINITY_DN21814_c0_g1,GO:0009986;GO:0070062;GO:0005794;GO:0005764;GO:0005739;GO:0005791;GO:0004065;GO:0046872;GO:0003943;GO:0008484;GO:0006914;GO:0007417;GO:0061580;GO:0008152;GO:0010976;GO:0010632;GO:0043627;GO:0051597;GO:0007584;GO:0009268
TRINITY_DN39555_c0_g1,GO:0070419;GO:0005730;GO:0005634;GO:0005524;GO:0003677;GO:0004677;GO:0016301;GO:0006310;GO:0006281;GO:0006303;GO:0001933;GO:0042752;GO:0048660;GO:0048511;GO:0072431
TRINITY_DN30092_c0_g1,GO:0005737
TRINITY_DN30736_c0_g1,GO:0005737;GO:0005634;GO:0000166;GO:0003723;GO:0006397
TRINITY_DN39209_c0_g1,GO:1904115;GO:0005938;GO:0005737;GO:0005868;GO:0030286;GO:0045169;GO:0005794;GO:0030529;GO:0000776;GO:0005874;GO:0005875;GO:0005524;GO:0008569;GO:0042623;GO:0045505;GO:0051959;GO:0003777;GO:0008088;GO:0007298;GO:0007349;GO:0007098;GO:0051642;GO:0040003;GO:0007282;GO:0048813;GO:0045198;GO:0051683;GO:0040001;GO:0045197;GO:0045478;GO:0048134;GO:0007294;GO:0008298;GO:0006886;GO:0051237;GO:0035011;GO:0007018;GO:0048311;GO:0047497;GO:0007067;GO:0007052;GO:0016319;GO:0007405;GO:0007312;GO:0048477;GO:0030723;GO:0007279;GO:0046604;GO:1904801;GO:0034501;GO:0030071;GO:0008090;GO:0050658;GO:0007051;GO:0034063
TRINITY_DN14463_c0_g1,GO:0005634;GO:0003677;GO:0015074;GO:0006313
TRINITY_DN8602_c0_g1,GO:0016021;GO:0005743;GO:0070469;GO:0004129;GO:0020037;GO:0005506;GO:0009060;GO:0006119
TRINITY_DN39958_c0_g1,GO:0005737;GO:0004365;GO:0051287;GO:0050661;GO:0006006;GO:0006096
TRINITY_DN21379_c0_g1,GO:0022627;GO:0046872;GO:0003735;GO:0000028;GO:0006412
TRINITY_DN7142_c0_g1,GO:0012505;GO:0005783;GO:0016021;GO:0005886;GO:0009506;GO:0008289;GO:0046872
TRINITY_DN24375_c0_g1,GO:0016021;GO:0005886;GO:0008028;GO:0015293
TRINITY_DN36180_c0_g1,GO:0005622;GO:0005886;GO:0005525;GO:1902766;GO:0007264;GO:0044319
TRINITY_DN1392_c0_g1,GO:0071013;GO:0005737;GO:1990726;GO:0097526;GO:0005689;GO:0071004;GO:0005688;GO:0046982;GO:0003723;GO:0006402;GO:0000398;GO:0000956;GO:0006396
TRINITY_DN11098_c0_g1,GO:0016607;GO:0003723;GO:0006915;GO:0006397;GO:0051028;GO:0007275;GO:0008380
TRINITY_DN7502_c0_g1,GO:0012505;GO:0070971;GO:0005794;GO:0000137;GO:0000139;GO:0016021;GO:0006887;GO:0007030;GO:0051047;GO:0009306;GO:0033363
TRINITY_DN29170_c0_g1,
TRINITY_DN8993_c0_g1,GO:0005737;GO:0035068;GO:0005634;GO:0048471;GO:0016442;GO:0070578;GO:0003725;GO:0070883;GO:0035197;GO:0035280;GO:0035264;GO:0050689;GO:0045727;GO:0045070;GO:0031054;GO:0030422;GO:0046782;GO:0007338;GO:0035087;GO:0007286;GO:0030423
TRINITY_DN9132_c0_g1,GO:0005634;GO:0003676
TRINITY_DN8652_c0_g1,GO:0005913;GO:0005737;GO:0005874;GO:0005634;GO:0051082;GO:0051301;GO:0098609;GO:0007067;GO:0007275;GO:0006457
TRINITY_DN30383_c0_g1,GO:0031514;GO:0008017;GO:0060285
TRINITY_DN35144_c0_g1,GO:0005789;GO:0016021;GO:0015020;GO:0008152
TRINITY_DN29735_c0_g1,GO:0005737;GO:0008289;GO:0006810
TRINITY_DN35745_c0_g1,GO:0005776;GO:0005829;GO:0005770;GO:0005764;GO:0031430;GO:0043130;GO:0008270;GO:0016236;GO:0051259
TRINITY_DN35171_c0_g1,GO:0005737;GO:0005856;GO:0005634
TRINITY_DN11782_c0_g1,GO:0005743;GO:0005739;GO:0005840;GO:0070125;GO:0070124
TRINITY_DN28958_c0_g1,GO:0016607;GO:0003723;GO:0006915;GO:0006397;GO:0051028;GO:0007275;GO:0008380
TRINITY_DN36128_c0_g1,GO:0005730;GO:0005634;GO:0032040;GO:0044822;GO:0007420;GO:0016569;GO:0000462
TRINITY_DN32720_c0_g1,GO:0005829;GO:0022625;GO:0005730;GO:0003735;GO:0002181
TRINITY_DN16542_c0_g1,GO:0005881;GO:0030176;GO:0006886
TRINITY_DN31279_c0_g1,GO:0005634;GO:0006310;GO:0006281;GO:0006355;GO:0006351
TRINITY_DN21147_c0_g1,GO:0005783;GO:0034663;GO:0005788;GO:0070062;GO:0005925;GO:0032991;GO:0042470;GO:0016020;GO:0005634;GO:0048471;GO:0005790;GO:0003755;GO:0044822;GO:0032403;GO:0070063;GO:0060348;GO:0061077;GO:0044829;GO:0044794;GO:0040018;GO:0000413;GO:0050821
TRINITY_DN36318_c0_g1,GO:0000781;GO:0048188;GO:0006348;GO:0051568
TRINITY_DN20090_c0_g1,GO:0019887;GO:0045859
TRINITY_DN30354_c0_g1,GO:0005783;GO:0005794;GO:0016021;GO:0005743;GO:0005741;GO:0005886;GO:0005524;GO:0042626;GO:0006879;GO:0055085
TRINITY_DN20876_c0_g1,GO:0005788;GO:0005524
TRINITY_DN34746_c0_g1,GO:0000159;GO:0019888;GO:0004722;GO:0006470;GO:0043278
TRINITY_DN30980_c0_g1,GO:0005840;GO:0019843;GO:0003735;GO:0006412
TRINITY_DN33052_c0_g1,GO:0005634
TRINITY_DN39037_c0_g1,GO:0030014;GO:0030015;GO:0000932;GO:0005634;GO:0031047;GO:0033147;GO:0017148;GO:0000288;GO:2000036;GO:0006355;GO:0006351;GO:0001829
TRINITY_DN31926_c0_g1,GO:0042470
TRINITY_DN8164_c0_g1,GO:0005740;GO:0005743;GO:0005753;GO:0000275;GO:0005739;GO:0045259;GO:0015078;GO:0046933;GO:0015986;GO:0015992
TRINITY_DN32773_c0_g1,GO:0005737;GO:0008270;GO:0086019;GO:1903954;GO:1903762;GO:0055117;GO:1901207
TRINITY_DN21823_c1_g1,GO:0016593;GO:0003697;GO:0001711;GO:0016570;GO:0000122;GO:0032968;GO:0045944;GO:0019827;GO:0006368;GO:0016055
TRINITY_DN3109_c0_g1,GO:0005737;GO:0016020;GO:0046872;GO:0004722
TRINITY_DN7551_c0_g1,GO:0070062;GO:0031224;GO:0046872;GO:0003810;GO:0031424;GO:0018149;GO:0045787;GO:0010838
TRINITY_DN32109_c0_g1,GO:0005737;GO:0030529;GO:0005730;GO:0003723;GO:0043066;GO:0045597;GO:0006355;GO:0006417;GO:0006364;GO:0006351
TRINITY_DN12647_c0_g1,GO:0030054;GO:0030285;GO:0005509;GO:0000149;GO:0045955;GO:0016079
TRINITY_DN32397_c0_g1,GO:0016235;GO:0030424;GO:0005901;GO:0044297;GO:0031252;GO:0005737;GO:0005829;GO:0030425;GO:0030286;GO:0000118;GO:0016234;GO:0005874;GO:0005875;GO:0043005;GO:0005634;GO:0043204;GO:0048471;GO:0043234;GO:0043014;GO:0008013;GO:0048487;GO:0001047;GO:0070840;GO:0004407;GO:0042826;GO:0051879;GO:0008017;GO:0051787;GO:0032041;GO:0031593;GO:0048156;GO:0042903;GO:0043130;GO:0031625;GO:0008270;GO:0070842;GO:0070301;GO:0071218;GO:0035967;GO:0048668;GO:0060997;GO:0016575;GO:0070846;GO:0006886;GO:0032418;GO:0016236;GO:0006515;GO:0051646;GO:0098779;GO:0007026;GO:0043242;GO:0045861;GO:0034983;GO:0070845;GO:0090035;GO:0010634;GO:1901300;GO:0010870;GO:0009967;GO:0043241;GO:0006476;GO:0000209;GO:0070201;GO:0045598;GO:0040029;GO:0031647;GO:0010469;GO:0006355;GO:0070848;GO:0051788;GO:0010033;GO:0009636;GO:0006351;GO:0090042;GO:0006511;GO:0043162
TRINITY_DN561_c0_g1,GO:0036064;GO:0005737;GO:0044458
TRINITY_DN35029_c0_g1,GO:0005739;GO:0005506;GO:0051536;GO:0016226
TRINITY_DN147_c0_g1,GO:0022625;GO:0003735;GO:0002181
TRINITY_DN31894_c0_g1,GO:0000502;GO:0005838;GO:0008541;GO:0022008;GO:0043161
TRINITY_DN24906_c0_g1,GO:0005615;GO:0005730;GO:0005654;GO:0042802;GO:0007267;GO:0006955
TRINITY_DN9765_c0_g1,GO:0003964
TRINITY_DN30504_c0_g1,GO:0005905;GO:0005886;GO:0035091;GO:0005546;GO:0001786;GO:0043009;GO:0048268;GO:0072583;GO:0010324;GO:0072659
TRINITY_DN25041_c0_g1,GO:0005813;GO:0005737;GO:0005925;GO:0005730;GO:0044822;GO:0007155;GO:0006974;GO:0040016;GO:0042985;GO:0043066;GO:0032929;GO:0045944;GO:0007346;GO:0006357;GO:0042254
TRINITY_DN33552_c0_g1,GO:0005814
TRINITY_DN2283_c0_g1,GO:0000781;GO:0005737;GO:0030496;GO:0005634;GO:0035861;GO:0000151;GO:0003682;GO:0042393;GO:0016874;GO:0042803;GO:0004842;GO:0008270;GO:0051301;GO:0006974;GO:0006302;GO:0006303;GO:0043486;GO:0070535;GO:0033522;GO:0033523;GO:0045190;GO:0007067;GO:0034244;GO:0045739;GO:0051865;GO:0070936;GO:0070534;GO:0010212;GO:0007286;GO:0006511
TRINITY_DN13805_c0_g1,GO:0005813;GO:0036464;GO:0005634;GO:0005886;GO:0031616;GO:0005524;GO:0046872;GO:0044822;GO:0004672;GO:0004674;GO:0072518;GO:0030036;GO:0071394;GO:0051298;GO:0030866;GO:0048813;GO:0090002;GO:0008625;GO:0007249;GO:0016525;GO:1903347;GO:0035509;GO:0001843;GO:0010825;GO:0010595;GO:0010628;GO:0001934;GO:0006468;GO:0032956;GO:0042752;GO:1903140;GO:0045616;GO:0007266;GO:0048511;GO:0006939;GO:0039694
TRINITY_DN15261_c0_g1,GO:0005737;GO:0005874;GO:0005634;GO:0005525;GO:0003924;GO:0005200;GO:0007017
TRINITY_DN33737_c0_g1,GO:0005634;GO:0005705;GO:0003677;GO:0046872;GO:0001077;GO:0008595;GO:0045450;GO:0032504;GO:0048477;GO:0045944
TRINITY_DN28287_c0_g1,GO:0005814;GO:0005813;GO:0036064;GO:0031410;GO:0005829;GO:0005783;GO:0005794;GO:0030027;GO:0016020;GO:0005886;GO:0003779;GO:0051959;GO:0008017;GO:0035091;GO:0042803;GO:0043422;GO:0032148;GO:0016477;GO:0031122;GO:0030705;GO:0006260;GO:0030032;GO:0061024;GO:0045724;GO:1903566;GO:0032956;GO:0042127;GO:0006275;GO:0010975;GO:0001932;GO:0031929
TRINITY_DN27874_c0_g1,GO:0005576;GO:0005615;GO:0005764;GO:0008061;GO:0004568;GO:0008843;GO:0004553;GO:0005975;GO:0006032;GO:0006955;GO:0000272;GO:0009617
TRINITY_DN5088_c0_g1,GO:0005737;GO:0070062;GO:0016020;GO:0031595;GO:0022624;GO:0000502;GO:0005838;GO:0008541;GO:0043161
TRINITY_DN29803_c0_g1,GO:0022625;GO:0003735;GO:0006412
TRINITY_DN9292_c0_g1,GO:0005581;GO:0005576;GO:0005537
TRINITY_DN32452_c0_g1,GO:0005829;GO:0070062;GO:0005634;GO:0019773;GO:1990111;GO:0004298;GO:0002479;GO:0006511
TRINITY_DN29213_c0_g1,GO:0005938;GO:0005913;GO:0005905;GO:0030863;GO:0005737;GO:0005856;GO:0043197;GO:0070062;GO:0005925;GO:0005794;GO:0043231;GO:0030027;GO:1990023;GO:0005886;GO:0002102;GO:0001726;GO:0008076;GO:0098641;GO:0005522;GO:0031532;GO:0030041;GO:0048870;GO:0097062;GO:0048041;GO:0006886;GO:0097581;GO:2001237;GO:0048812;GO:0030838;GO:0045987;GO:0006898;GO:0030516;GO:1903146;GO:0006930
TRINITY_DN31566_c0_g1,GO:0005737;GO:0005829;GO:0005874;GO:0005654;GO:0030154;GO:0007399;GO:0007023
TRINITY_DN16398_c0_g1,GO:0031265;GO:0005829;GO:0005635;GO:0005634;GO:0048471;GO:0034098;GO:0031072;GO:0051059;GO:0019901;GO:0019887;GO:0043130;GO:0031625;GO:0006915;GO:0008219;GO:0007253;GO:0043065;GO:0010942;GO:1902043;GO:0031334;GO:0043161;GO:0030155;GO:0042176
TRINITY_DN32832_c0_g1,GO:0005737;GO:0004365;GO:0051287;GO:0050661;GO:0006006;GO:0006096
TRINITY_DN11995_c0_g1,GO:0005684;GO:0008270;GO:0045292;GO:0034247
TRINITY_DN769_c0_g1,GO:0009538;GO:0005886;GO:0015979
TRINITY_DN5934_c0_g1,GO:0005737;GO:0030529;GO:0005634;GO:0005681;GO:0000166;GO:0003723;GO:1903936;GO:0006397;GO:0051028;GO:0008380
TRINITY_DN4234_c0_g1,GO:0005829;GO:0031430;GO:0030016;GO:0030018;GO:0030506;GO:0005524;GO:0005085;GO:0046872;GO:0004674;GO:0005089;GO:0008307;GO:0031432;GO:0007275;GO:0043065;GO:0036309;GO:0035023;GO:0051056;GO:0045214
TRINITY_DN32060_c0_g1,GO:0005576;GO:0004867;GO:0009611
